"periode_data","jenis","kode_trayek","trayek","jumlah_penumpang"
"202105","Angkutan Umum Integrasi","1A","PIK - Balai Kota","62524"
"202105","Angkutan Umum Integrasi","12B","Pluit - Senen","9408"
"202105","Angkutan Umum Integrasi","11Q","Kampung Melayu - Pulo Gebang via BKT","8906"
"202105","Angkutan Umum Integrasi","11D","Pulo Gebang - Pulo Gadung 2 via PIK","51102"
"202105","Angkutan Umum Integrasi","10K","Tanjung Priok - Senen via Taman BMW","31667"
"202105","Angkutan Umum Integrasi","GR2","Tanah Abang Explorer","3945"
"202105","Angkutan Umum Integrasi","GR3","Ragunan - Departemen Pertanian","1386"
"202105","Angkutan Umum Integrasi","GR4","Taman Kota Intan - Museum Bahari","17"
"202105","Angkutan Umum Integrasi","GR5","Kota Tua Explorer","24"
"202106","Mikrotrans","JAK.88","Terminal Tanjung Priok - Ancol Barat","33636"
"202106","Mikrotrans","JAK.85","Bintara - Cipinang Indah","30376"
"202106","Mikrotrans","JAK.84","Terminal Kampung Melayu - Kapin Raya","43502"
"202106","Mikrotrans","JAK.80","Rawa Buaya - Rawa Kompeni","67559"
"202106","Mikrotrans","JA.77","Tanjung Priok - Jembatan Item","73193"
"202106","Mikrotrans","JAK.75","Cililitan - Kp. Pulo","49284"
"202106","Mikrotrans","JAK.74","Terminal Rawamangun - Cipinang Muara","43869"
"202106","Mikrotrans","JAK.73","Jambore Cibubur - Pasar Rebo","75138"
"202106","Mikrotrans","JAK.72","Kampung Rambutan - Pasar Rebo via Poncol","100305"
"202106","Mikrotrans","JAK.71","Kampung Rambutan - Pinang Ranti","63162"
"202106","Mikrotrans","JAK.64","Lenteng Agung - Aseli","48331"
"202106","Mikrotrans","JAK.61","Cempaka Putih - Pulo Gadung via Kelapa Gading","41219"
"202106","Mikrotrans","JAK.60","Kelapa Gading - Rusun Kemayoran","73595"
"202106","Mikrotrans","JAK.59","Rawamangun - Tanah Merah","88536"
"202106","Mikrotrans","JAK.58","Cilingcing - Rorotan","101903"
"202106","Mikrotrans","JAK.56","Grogol - Srengseng","57394"
"202106","Mikrotrans","JAK.54","Grogol - Benhil","40997"
"202106","Mikrotrans","JAK.53","Grogol - Pos Pengumben via Slipi","39339"
"202106","Mikrotrans","JAK.52","Kalideres - Muara Angke","65733"
"202106","Mikrotrans","JAK.51","Taman Kota - Budi Luhur","108644"
"202106","Mikrotrans","JAK.50","Kalideres - Puri Kembangan","69534"
"202106","Mikrotrans","JAK.49","Lebak Bulus - Cipulir","43143"
"202106","Mikrotrans","JAK.47","Pasar Minggu - Ciganjur via KB Ragunan","53892"
